series,date,value
L529,2023 AUG,136.8
L529,2023 SEP,136.5
L529,2023 OCT,136.2
L529,2023 NOV,133.9
L529,2023 DEC,134.6
L529,2024 JAN,130.9
L529,2024 FEB,131.9
L529,2024 MAR,132.7
L529,2024 APR,135.0
L529,2024 MAY,136.0
L529,2024 JUN,135.7
L529,2024 JUL,136.7
L529,2024 AUG,138.4
L529,2024 SEP,133.3
L529,2024 OCT,133.5
L529,2024 NOV,132.4
L52G,1988 JAN,35.3
L52G,1988 FEB,35.4
L52G,1988 MAR,35.6
L52G,1988 APR,36.2
L52G,1988 MAY,36.4
L52G,1988 JUN,36.5
L52G,1988 JUL,36.6
L52G,1988 AUG,36.9
L52G,1988 SEP,37.1
L52G,1988 OCT,37.4
L52G,1988 NOV,37.7
L52G,1988 DEC,37.7
L52G,1989 JAN,38.0
L52G,1989 FEB,38.2
L52G,1989 MAR,38.4
L52G,1989 APR,38.6
L52G,1989 MAY,39.0
L52G,1989 JUN,39.1
L52G,1989 JUL,39.2
L52G,1989 AUG,39.4
L52G,1989 SEP,39.7
L52G,1989 OCT,40.0
L52G,1989 NOV,40.2
L52G,1989 DEC,40.3
L52G,1990 JAN,40.6
L52G,1990 FEB,41.0
L52G,1990 MAR,41.1
L52G,1990 APR,42.6
L52G,1990 MAY,43.2
L52G,1990 JUN,43.3
L52G,1990 JUL,43.6
L52G,1990 AUG,43.8
L52G,1990 SEP,44.2
L52G,1990 OCT,44.6
L52G,1990 NOV,45.0
L52G,1990 DEC,45.2
L52G,1991 JAN,45.5
L52G,1991 FEB,45.6
L52G,1991 MAR,45.9
L52G,1991 APR,46.5
L52G,1991 MAY,46.8
L52G,1991 JUN,47.0
L52G,1991 JUL,47.1
L52G,1991 AUG,47.7
L52G,1991 SEP,47.9
L52G,1991 OCT,48.2
L52G,1991 NOV,48.3
L52G,1991 DEC,48.4
L52G,1992 JAN,48.6
L52G,1992 FEB,48.8
L52G,1992 MAR,48.8
L52G,1992 APR,49.7
L52G,1992 MAY,50.1
L52G,1992 JUN,50.2
L52G,1992 JUL,50.4
L52G,1992 AUG,50.5
L52G,1992 SEP,50.7
L52G,1992 OCT,50.8
L52G,1992 NOV,50.9
L52G,1992 DEC,51.0
L52G,1993 JAN,51.2
L52G,1993 FEB,51.4
L52G,1993 MAR,51.5
L52G,1993 APR,51.8
L52G,1993 MAY,51.8
L52G,1993 JUN,51.9
L52G,1993 JUL,52.0
L52G,1993 AUG,52.2
L52G,1993 SEP,52.3
L52G,1993 OCT,52.5
L52G,1993 NOV,52.5
L52G,1993 DEC,52.7
L52G,1994 JAN,52.9
L52G,1994 FEB,53.1
L52G,1994 MAR,53.1
L52G,1994 APR,53.5
L52G,1994 MAY,53.6
L52G,1994 JUN,53.6
L52G,1994 JUL,53.6
L52G,1994 AUG,53.8
L52G,1994 SEP,54.0
L52G,1994 OCT,54.0
L52G,1994 NOV,54.1
L52G,1994 DEC,54.2
L52G,1995 JAN,54.3
L52G,1995 FEB,54.4
L52G,1995 MAR,54.5
L52G,1995 APR,55.0
L52G,1995 MAY,55.2
L52G,1995 JUN,55.3
L52G,1995 JUL,55.4
L52G,1995 AUG,55.5
L52G,1995 SEP,55.7
L52G,1995 OCT,55.8
L52G,1995 NOV,55.9
L52G,1995 DEC,56.1
L52G,1996 JAN,56.3
L52G,1996 FEB,56.4
L52G,1996 MAR,56.5
L52G,1996 APR,56.9
L52G,1996 MAY,57.3
L52G,1996 JUN,57.4
L52G,1996 JUL,57.5
L52G,1996 AUG,57.7
L52G,1996 SEP,57.8
L52G,1996 OCT,58.0
L52G,1996 NOV,58.2
L52G,1996 DEC,58.3
L52G,1997 JAN,58.5
L52G,1997 FEB,58.6
L52G,1997 MAR,58.6
L52G,1997 APR,59.1
L52G,1997 MAY,59.4
L52G,1997 JUN,59.5
L52G,1997 JUL,59.6
L52G,1997 AUG,59.8
L52G,1997 SEP,59.9
L52G,1997 OCT,60.1
L52G,1997 NOV,60.1
L52G,1997 DEC,60.3
L52G,1998 JAN,60.4
L52G,1998 FEB,60.5
L52G,1998 MAR,60.6
L52G,1998 APR,61.2
L52G,1998 MAY,61.4
L52G,1998 JUN,61.4
L52G,1998 JUL,61.6
L52G,1998 AUG,61.7
L52G,1998 SEP,61.9
L52G,1998 OCT,62.0
L52G,1998 NOV,62.1
L52G,1998 DEC,62.3
L52G,1999 JAN,62.5
L52G,1999 FEB,62.7
L52G,1999 MAR,62.8
L52G,1999 APR,63.3
L52G,1999 MAY,63.4
L52G,1999 JUN,63.5
L52G,1999 JUL,63.6
L52G,1999 AUG,63.7
L52G,1999 SEP,63.8
L52G,1999 OCT,63.9
L52G,1999 NOV,64.0
L52G,1999 DEC,64.2
L52G,2000 JAN,64.4
L52G,2000 FEB,64.5
L52G,2000 MAR,64.5
L52G,2000 APR,64.9
L52G,2000 MAY,65.2
L52G,2000 JUN,65.3
